127.0.0.1 - - [05/Mar/2023:12:25:14 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [05/Mar/2023:12:25:22 +0530] "GET /loginsignup/index.jsp HTTP/1.1" 200 52
0:0:0:0:0:0:0:1 - - [05/Mar/2023:12:25:22 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [05/Mar/2023:12:35:26 +0530] "GET /loginsignup/Login.html HTTP/1.1" 404 777
0:0:0:0:0:0:0:1 - - [05/Mar/2023:12:35:28 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [05/Mar/2023:12:36:29 +0530] "GET /loginsignup/Signup.html HTTP/1.1" 200 1560
0:0:0:0:0:0:0:1 - - [05/Mar/2023:12:36:35 +0530] "GET /loginsignup/Login.html HTTP/1.1" 200 651
0:0:0:0:0:0:0:1 - - [05/Mar/2023:12:36:44 +0530] "GET /loginsignup/Signup.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Mar/2023:12:36:47 +0530] "GET /loginsignup/Login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Mar/2023:12:36:52 +0530] "GET /loginsignup/Signup.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Mar/2023:12:36:55 +0530] "GET /loginsignup/Login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Mar/2023:12:37:03 +0530] "GET /loginsignup/Signup.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Mar/2023:12:38:27 +0530] "POST /loginsignup/Signup.html HTTP/1.1" 200 1560
0:0:0:0:0:0:0:1 - - [05/Mar/2023:12:38:33 +0530] "POST /loginsignup/Signup.html HTTP/1.1" 200 1560
0:0:0:0:0:0:0:1 - - [05/Mar/2023:12:38:34 +0530] "POST /loginsignup/Signup.html HTTP/1.1" 200 1560
0:0:0:0:0:0:0:1 - - [05/Mar/2023:12:38:36 +0530] "GET /loginsignup/Login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Mar/2023:12:38:38 +0530] "GET /loginsignup/Signup.html HTTP/1.1" 200 1560
